04:23	TIME
PM	TIME
---------------------------	0
Enron	0
North	0
America	0
Corp	0
.	0
John	PERSON
Grant	PERSON
Ted	PERSON
Vladimir	PERSON
Frank	PERSON
Kimberly	PERSON
Araceli	PERSON
Kimberly	PERSON
Please	REQUEST
plan	TASK
to	TASK
attend	TASK
the	TASK
below	TASK
Meeting	TASK
:	0
Topic	0
:	0
Var	TASK
,	0
Reporting	TASK
and	TASK
Resources	TASK
Meeting	TASK
Date	TIME
:	0
Wednesday	TIME
,	0
October	TIME
11th	TIME
Time	TIME
:	0
2:30	TIME
-	TIME
3:30	TIME
Location	PLACE
:	0
EB30C1	PLACE
If	0
you	0
have	0
any	0
questions/conflicts	0
,	0
please	0
feel	0
free	0
to	0
call	0
me	0
.	0
Thanks	0
,	0
Rain	PERSON
x.31560	0
