04:23	TIME
PM	TIME
---------------------------	0
Enron	PERSON
North	PERSON
America	0
Corp	0
.	0
Kevin	PERSON
M	PERSON
Thresa	PERSON
A	PERSON
Kristin	PERSON
Brent	PERSON
A	PERSON
Steve	PERSON
Beth	PERSON
Sally	PERSON
Patti	PERSON
Felicia	PERSON
Irena	PERSON
D	PERSON
Ina	PERSON
Please	PERSON
note	TASK
that	TASK
John	TASK
Lavorato	PERSON
has	TASK
scheduled	TASK
a	TASK
Systems	TASK
Meeting	TASK
on	TASK
Tuesday	TIME
,	0
July	TIME
18	TIME
,	0
from	0
2:00	TIME
-	0
3:00	TIME
p.m.	TIME
in	0
EB3321	PLACE
.	0
Please	REQUEST
call	TASK
me	TASK
at	TASK
x30681	0
if	0
you	0
have	0
any	0
questions	0
.	0
Thanks	0
Kim	PERSON
Hillis	PERSON
