02:00	TIME
PM	TIME
---------------------------	0
Reschedule	TASK
Chairperson	0
:	0
Richard	PERSON
Burchfield	PERSON
Sent	0
by	0
:	0
Cindy	PERSON
Cicchetti	PERSON
Start	0
:	0
10/03/2000	TIME
02:30	TIME
PM	TIME
End	0
:	0
10/03/2000	TIME
03:30	TIME
PM	TIME
Description	0
:	0
Gas	0
Physical/Financail	TASK
Positions	TASK
-	0
Room	PLACE
2537	PLACE
This	0
meeting	TASK
repeats	TASK
starting	TASK
on	TASK
(if	0
the	0
date	0
occurs	0
on	0
a	0
weekend	0
the	0
meeting	0
)	0
.	0
Meeting	TASK
Dates	TIME
:	0
Fletcher	PERSON
J	PERSON
Sturm/HOU/ECT	0
Scott	PERSON
Neal/HOU/ECT	0
Hunter	PERSON
S	PERSON
Shively/HOU/ECT	0
Phillip	PERSON
K	PERSON
Allen/HOU/ECT	0
Allan	PERSON
Severude/HOU/ECT	0
Scott	PERSON
Mills/HOU/ECT	0
Russ	PERSON
Severson/HOU/ECT	0
Detailed	PERSON
description	0
:	0
